pairing,game_idx,starter,A_name,B_name,A_symbol,B_symbol,winner_agent,winner_symbol,moves,seconds,sec_per_move
qlearn_vs_minmax@5,1,A,qlearn,minmax@5,X,O,A,X,17,9.406092,0.553300
qlearn_vs_minmax@5,2,B,qlearn,minmax@5,O,X,B,X,25,10.987497,0.439500
qlearn_vs_minmax@5,3,A,qlearn,minmax@5,X,O,B,O,22,10.980505,0.499114
qlearn_vs_minmax@5,4,B,qlearn,minmax@5,O,X,B,X,33,9.724140,0.294671
qlearn_vs_minmax@5,5,A,qlearn,minmax@5,X,O,B,O,16,10.050986,0.628187
qlearn_vs_minmax@5,6,B,qlearn,minmax@5,O,X,B,X,21,9.417405,0.448448
qlearn_vs_minmax@5,7,A,qlearn,minmax@5,X,O,B,O,18,8.635084,0.479727
qlearn_vs_minmax@5,8,B,qlearn,minmax@5,O,X,B,X,31,10.866234,0.350524
qlearn_vs_minmax@5,9,A,qlearn,minmax@5,X,O,A,X,31,11.040077,0.356132
qlearn_vs_minmax@5,10,B,qlearn,minmax@5,O,X,B,X,21,9.738101,0.463719
qlearn_vs_minmax@5,11,A,qlearn,minmax@5,X,O,B,O,22,10.164085,0.462004
qlearn_vs_minmax@5,12,B,qlearn,minmax@5,O,X,B,X,21,10.257586,0.488456
qlearn_vs_minmax@5,13,A,qlearn,minmax@5,X,O,B,O,30,10.730352,0.357678
qlearn_vs_minmax@5,14,B,qlearn,minmax@5,O,X,A,O,32,13.988869,0.437152
qlearn_vs_minmax@5,15,A,qlearn,minmax@5,X,O,B,O,26,13.119410,0.504593
qlearn_vs_minmax@5,16,B,qlearn,minmax@5,O,X,B,X,19,8.717618,0.458822
qlearn_vs_minmax@5,17,A,qlearn,minmax@5,X,O,A,X,25,11.972840,0.478914
qlearn_vs_minmax@5,18,B,qlearn,minmax@5,O,X,B,X,21,9.088139,0.432769
qlearn_vs_minmax@5,19,A,qlearn,minmax@5,X,O,B,O,30,11.170332,0.372344
qlearn_vs_minmax@5,20,B,qlearn,minmax@5,O,X,B,X,21,9.330465,0.444308
qlearn_vs_minmax@5,21,A,qlearn,minmax@5,X,O,B,O,22,11.182328,0.508288
qlearn_vs_minmax@5,22,B,qlearn,minmax@5,O,X,B,X,19,9.699512,0.510501
qlearn_vs_minmax@5,23,A,qlearn,minmax@5,X,O,B,O,26,11.158518,0.429174
qlearn_vs_minmax@5,24,B,qlearn,minmax@5,O,X,B,X,21,11.305520,0.538358
qlearn_vs_minmax@5,25,A,qlearn,minmax@5,X,O,B,O,22,10.960023,0.498183
qlearn_vs_minmax@5,26,B,qlearn,minmax@5,O,X,B,X,21,9.521063,0.453384
qlearn_vs_minmax@5,27,A,qlearn,minmax@5,X,O,B,O,20,8.942459,0.447123
qlearn_vs_minmax@5,28,B,qlearn,minmax@5,O,X,B,X,19,8.807059,0.463529
qlearn_vs_minmax@5,29,A,qlearn,minmax@5,X,O,B,O,20,10.737668,0.536883
qlearn_vs_minmax@5,30,B,qlearn,minmax@5,O,X,B,X,39,10.168841,0.260740
qlearn_vs_minmax@5,31,A,qlearn,minmax@5,X,O,A,X,29,12.171581,0.419710
qlearn_vs_minmax@5,32,B,qlearn,minmax@5,O,X,B,X,19,8.509038,0.447844
